name,rating,review_count,price_range,category,address,hours,phone,website,services,price_per_person,url,lat,lng
Bistro George,4.8,97,,Restaurant,"
level 1/176 George St, Sydney NSW 2000, Australia", | Closed · Opens 12 PM Mon |  | See more hours |  | ,"
+61 2 8027 9997",https://jacksonsongeorge.com.au/bistro-george/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Bistro+George/data=!4m7!3m6!1s0x6b12afb3c85c3f83:0x79317b976288690!8m2!3d-33.8618074!4d151.2081456!16s%2Fg%2F11vbwcj92m!19sChIJgz9cyLOvEmsRkIYodrkXkwc?authuser=0&hl=en&rclk=1,-33.8618074,151.2081456
The Sanderson,4.7,394,,Restaurant,"
Enter Via Wynyard Lane, 285 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 7225 5559",https://thesanderson.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/The+Sanderson/data=!4m7!3m6!1s0x6b12af03b895f5b1:0x62b9cd501a538994!8m2!3d-33.8654717!4d151.2068885!16s%2Fg%2F11tx1p5s54!19sChIJsfWVuAOvEmsRlIlTGlDNuWI?authuser=0&hl=en&rclk=1,-33.8654717,151.2068885
Open Sesame Sydney,4.7,785,,Middle Eastern restaurant,"
Shop CQT.08/180 George St, Sydney NSW 2000, Australia",Hours,"
+61 414 149 505",http://opensesamesydney.com.au/,"·

Dine-in, ·

Curbside pickup, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Open+Sesame+Sydney/data=!4m7!3m6!1s0x6b12af9add53c06d:0x342ac8b695c0f3f7!8m2!3d-33.862144!4d151.208169!16s%2Fg%2F11st70xscn!19sChIJbcBT3ZqvEmsR9_PAlbbIKjQ?authuser=0&hl=en&rclk=1,-33.862144,151.208169
Esteban,4.7,"1,765",,Mexican restaurant,"
1 Temperance Ln, Sydney NSW 2000, Australia",Hours,"
+61 2 9290 7022",https://www.estebanrestaurant.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Esteban/data=!4m7!3m6!1s0x6b12af5a1185c063:0x496c3ad0393c073b!8m2!3d-33.8696141!4d151.2065551!16s%2Fg%2F11qm1gf4xw!19sChIJY8CFEVqvEmsROwc8OdA6bEk?authuser=0&hl=en&rclk=1,-33.8696141,151.2065551
Bellucci Cucina,4.4,"1,200",Moderately priced,Italian restaurant,"
Upper Podium, 264/278 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9252 5325",http://www.bellucci.com.au/?utm_source=gmb,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Bellucci+Cucina/data=!4m7!3m6!1s0x6b12affad58b72e1:0x4a12efdabeefbb97!8m2!3d-33.8651272!4d151.2080465!16s%2Fg%2F11f62ddylm!19sChIJ4XKL1fqvEmsRl7vvvtrvEko?authuser=0&hl=en&rclk=1,-33.8651272,151.2080465
The Restaurant Pendolino,4.5,713,,Italian restaurant,"
Shop 100/412/414 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9231 6117",https://www.pendolino.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/The+Restaurant+Pendolino/data=!4m7!3m6!1s0x6b12ae3f74e15c2f:0x252775ec28d73380!8m2!3d-33.8694151!4d151.2071166!16s%2Fg%2F1v6p4fsw!19sChIJL1zhdD-uEmsRgDPXKOx1JyU?authuser=0&hl=en&rclk=1,-33.8694151,151.2071166
Don Don City,4.6,"2,306",,Korean restaurant,"
1/636-638 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9261 0023",https://m.facebook.com/DonDonSydney/?locale2=ko_KR,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Don+Don+City/data=!4m7!3m6!1s0x6b12ae3cf0545583:0x68b65aad8ba72efc!8m2!3d-33.8761505!4d151.2064821!16s%2Fg%2F11f3ttq4ns!19sChIJg1VU8DyuEmsR_C6ni61atmg?authuser=0&hl=en&rclk=1,-33.8761505,151.2064821
Sydney Place,4.5,33,,Restaurant,"
180 George St, Sydney NSW 2000, Australia",,,https://www.sydneyplace.com/?utm_source=google&utm_medium=google-my-business&utm_campaign=google-my-business,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Sydney+Place/data=!4m7!3m6!1s0x6b12af4ea22dcf29:0x2b403f8c26cfa7b1!8m2!3d-33.862144!4d151.208169!16s%2Fg%2F11sd036pqc!19sChIJKc8tok6vEmsRsafPJow_QCs?authuser=0&hl=en&rclk=1,-33.862144,151.208169
Primi Italian,4.7,"3,955",Moderately priced,Italian restaurant,"
168 Clarence St, Sydney NSW 2000, Australia",Hours,"
+61 2 8296 6430",https://primiitalian.com.au/,"·

Dine-in, ·

Curbside pickup, ·

No-contact delivery",,https://www.google.com/maps/place/Primi+Italian/data=!4m7!3m6!1s0x6b12afabd02f77b3:0x4d197ad2c0d8c51d!8m2!3d-33.8701437!4d151.2056158!16s%2Fg%2F11qpk24xgv!19sChIJs3cv0KuvEmsRHcXYwNJ6GU0?authuser=0&hl=en&rclk=1,-33.8701437,151.2056158
MuMu,4.1,"1,267",,Restaurant,"
330C George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9114 7393",https://merivale.com/venues/mumu/?utm_source=googlemybusines_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_mumu&utm_content=website,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/MuMu/data=!4m7!3m6!1s0x6b12afcd664741e7:0x7b388f5af97033af!8m2!3d-33.8666324!4d151.2073321!16s%2Fg%2F11sgkbsm2_!19sChIJ50FHZs2vEmsRrzNw-VqPOHs?authuser=0&hl=en&rclk=1,-33.8666324,151.2073321
